lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
librosa,8000,i16,30.0,2,240000,960000,0.0660,0.0527,0.0287,0.0445,0.0853,0.0639,0.0580,0.0243,0.0553,0.0705,
wave,8000,i16,30.0,2,240000,960000,0.0563,0.0531,0.0154,0.0523,0.0569,0.0452,0.0427,0.0136,0.0413,0.0483,
scipy,8000,i16,30.0,2,240000,960000,0.0627,0.0597,0.0174,0.0584,0.0641,0.0466,0.0440,0.0160,0.0427,0.0476,
torchaudio,8000,i16,30.0,2,240000,960000,3.1193,3.0247,0.2832,2.8921,3.4714,0.6190,0.6008,0.1078,0.5255,0.7859,
audio_samples,8000,i16,60.0,1,480000,960000,0.0284,0.0258,0.0133,0.0253,0.0275,0.0381,0.0361,0.0112,0.0353,0.0394,
librosa,8000,i16,60.0,1,480000,960000,0.0526,0.0475,0.0190,0.0452,0.0608,0.0599,0.0563,0.0205,0.0541,0.0629,
wave,8000,i16,60.0,1,480000,960000,0.0606,0.0567,0.0185,0.0521,0.0678,0.0464,0.0425,0.0150,0.0405,0.0508,
scipy,8000,i16,60.0,1,480000,960000,0.0609,0.0581,0.0203,0.0563,0.0610,0.0467,0.0441,0.0174,0.0424,0.0476,
torchaudio,8000,i16,60.0,1,480000,960000,2.8677,2.8211,0.1420,2.7572,2.9703,0.9289,0.9448,0.0771,0.8042,0.9499,
audio_samples,8000,i16,60.0,2,480000,1920000,0.0770,0.0730,0.0268,0.0630,0.0789,0.0831,0.0774,0.0185,0.0765,0.0922,
librosa,8000,i16,60.0,2,480000,1920000,0.0852,0.0805,0.0242,0.0788,0.0871,0.1031,0.0990,0.0271,0.0945,0.1049,
wave,8000,i16,60.0,2,480000,1920000,0.1270,0.1214,0.0284,0.1209,0.1262,0.0882,0.0863,0.0203,0.0810,0.0903,
scipy,8000,i16,60.0,2,480000,1920000,0.1356,0.1268,0.0320,0.1252,0.1432,0.0902,0.0852,0.0227,0.0837,0.0930,
torchaudio,8000,i16,60.0,2,480000,1920000,4.0599,4.0017,0.1864,3.8299,4.2949,1.4285,1.2458,0.4814,1.2292,1.5910,
audio_samples,8000,f32,1.0,1,8000,32000,0.0059,0.0052,0.0049,0.0050,0.0062,0.0041,0.0036,0.0028,0.0035,0.0044,
librosa,8000,f32,1.0,1,8000,32000,0.0235,0.0211,0.0129,0.0197,0.0261,0.0416,0.0399,0.0123,0.0388,0.0411,
wave,8000,f32,1.0,1,8000,32000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,1.0,1,8000,32000,0.0096,0.0083,0.0084,0.0080,0.0104,0.0131,0.0116,0.0096,0.0084,0.0132,
torchaudio,8000,f32,1.0,1,8000,32000,0.1488,0.1277,0.0594,0.1216,0.2168,0.0299,0.0262,0.0146,0.0255,0.0394,
audio_samples,8000,f32,1.0,2,8000,64000,0.0072,0.0062,0.0055,0.0061,0.0083,0.0055,0.0048,0.0030,0.0047,0.0059,
librosa,8000,f32,1.0,2,8000,64000,0.0238,0.0212,0.0202,0.0202,0.0238,0.0671,0.0654,0.0144,0.0569,0.0684,
wave,8000,f32,1.0,2,8000,64000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,1.0,2,8000,64000,0.0112,0.0098,0.0085,0.0095,0.0114,0.0112,0.0099,0.0088,0.0094,0.0117,
torchaudio,8000,f32,1.0,2,8000,64000,0.1431,0.1341,0.0388,0.1265,0.1559,0.0332,0.0302,0.0160,0.0296,0.0339,
audio_samples,8000,f32,5.0,1,40000,160000,0.0096,0.0084,0.0072,0.0081,0.0094,0.0091,0.0083,0.0046,0.0082,0.0100,
librosa,8000,f32,5.0,1,40000,160000,0.0319,0.0277,0.0188,0.0219,0.0366,0.1495,0.1401,0.0279,0.1381,0.1680,
wave,8000,f32,5.0,1,40000,160000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,5.0,1,40000,160000,0.0145,0.0132,0.0092,0.0126,0.0139,0.0148,0.0133,0.0101,0.0129,0.0143,
torchaudio,8000,f32,5.0,1,40000,160000,0.2932,0.2771,0.0494,0.2647,0.3220,0.0785,0.0743,0.0239,0.0734,0.0764,
audio_samples,8000,f32,5.0,2,40000,320000,0.0127,0.0110,0.0077,0.0106,0.0140,0.0157,0.0145,0.0082,0.0142,0.0159,
librosa,8000,f32,5.0,2,40000,320000,0.0501,0.0439,0.0255,0.0367,0.0629,0.2732,0.2696,0.0211,0.2392,0.2754,
wave,8000,f32,5.0,2,40000,320000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,5.0,2,40000,320000,0.0199,0.0186,0.0107,0.0182,0.0192,0.0216,0.0195,0.0121,0.0190,0.0228,
torchaudio,8000,f32,5.0,2,40000,320000,0.3185,0.3045,0.0554,0.2919,0.3439,0.0982,0.0915,0.0223,0.0902,0.1088,
audio_samples,8000,f32,10.0,1,80000,320000,0.0121,0.0110,0.0077,0.0107,0.0115,0.0154,0.0144,0.0060,0.0142,0.0149,
librosa,8000,f32,10.0,1,80000,320000,0.0279,0.0258,0.0152,0.0248,0.0288,0.2660,0.2632,0.0153,0.2612,0.2668,
wave,8000,f32,10.0,1,80000,320000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,10.0,1,80000,320000,0.0200,0.0183,0.0112,0.0177,0.0212,0.0211,0.0194,0.0131,0.0189,0.0209,
torchaudio,8000,f32,10.0,1,80000,320000,0.4578,0.4388,0.0610,0.4166,0.4913,0.1465,0.1366,0.0351,0.1348,0.1505,
audio_samples,8000,f32,10.0,2,80000,640000,0.0185,0.0167,0.0094,0.0162,0.0204,0.0256,0.0242,0.0086,0.0239,0.0254,
librosa,8000,f32,10.0,2,80000,640000,0.0426,0.0341,0.0324,0.0317,0.0546,0.5335,0.5223,0.0321,0.5163,0.5539,
wave,8000,f32,10.0,2,80000,640000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,10.0,2,80000,640000,0.0369,0.0343,0.0142,0.0336,0.0381,0.0326,0.0301,0.0151,0.0291,0.0341,
torchaudio,8000,f32,10.0,2,80000,640000,0.5154,0.4906,0.0821,0.4700,0.5469,0.2104,0.1816,0.0641,0.1679,0.2967,
audio_samples,8000,f32,30.0,1,240000,960000,0.0308,0.0270,0.0138,0.0257,0.0427,0.0377,0.0359,0.0108,0.0351,0.0383,
librosa,8000,f32,30.0,1,240000,960000,0.0536,0.0484,0.0241,0.0446,0.0611,0.7816,0.7681,0.0420,0.7599,0.8046,
wave,8000,f32,30.0,1,240000,960000,,,,,,,,,,,wave does not support f32
scipy,8000,f32,30.0,1,240000,960000,0.0691,0.0631,0.0192,0.0617,0.0808,0.0474,0.0445,0.0170,0.0432,0.0488,
torchaudio,8000,f32,30.0,1,240000,960000,1.0984,1.0271,0.1822,1.0022,1.2533,0.4050,0.3952,0.0381,0.3878,0.4165,
audio_samples,8000,f32,30.0,2,240000,1920000,0.0744,0.0728,0.0165,0.0635,0.0786,0.0865,0.0852,0.0171,0.0794,0.0881,
