lib,sample_rate,dtype,duration,channels,n_samples,file_size_bytes,load_mean_ms,load_median_ms,load_std_ms,load_min_ms,load_p90_ms,save_mean_ms,save_median_ms,save_std_ms,save_min_ms,save_p90_ms,error
audio_samples,16000,f32,60.0,1,960000,3840000,0.1276,0.1206,0.0329,0.1196,0.1349,0.1660,0.1578,0.0343,0.1543,0.1730,
librosa,16000,f32,60.0,1,960000,3840000,0.1531,0.1370,0.0503,0.1339,0.1724,3.1191,3.0248,0.2850,2.9230,3.3668,
wave,16000,f32,60.0,1,960000,3840000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,60.0,1,960000,3840000,0.2086,0.1928,0.0584,0.1836,0.2246,0.1841,0.1656,0.0605,0.1623,0.2013,
torchaudio,16000,f32,60.0,1,960000,3840000,2.1717,2.1339,0.1419,2.0501,2.3147,1.5659,1.5198,0.1408,1.4779,1.6519,
audio_samples,16000,f32,60.0,2,960000,7680000,0.2644,0.2491,0.0787,0.2460,0.2756,0.3898,0.3559,0.1156,0.3510,0.4526,
librosa,16000,f32,60.0,2,960000,7680000,0.2956,0.2724,0.0833,0.2687,0.3255,6.1747,6.0986,0.2585,5.8631,6.4785,
wave,16000,f32,60.0,2,960000,7680000,,,,,,,,,,,wave does not support f32
scipy,16000,f32,60.0,2,960000,7680000,0.4208,0.3927,0.1236,0.3477,0.4524,0.3993,0.3872,0.0711,0.3672,0.4203,
torchaudio,16000,f32,60.0,2,960000,7680000,3.1829,3.1205,0.2339,2.8925,3.4887,2.0566,1.9754,0.2038,1.8328,2.3126,
audio_samples,22100,i16,1.0,1,22100,44200,0.0074,0.0057,0.0058,0.0055,0.0083,0.0053,0.0045,0.0037,0.0043,0.0058,
librosa,22100,i16,1.0,1,22100,44200,0.0237,0.0208,0.0179,0.0191,0.0255,0.0197,0.0182,0.0111,0.0174,0.0192,
wave,22100,i16,1.0,1,22100,44200,0.0079,0.0071,0.0061,0.0066,0.0075,0.0107,0.0106,0.0055,0.0072,0.0116,
scipy,22100,i16,1.0,1,22100,44200,0.0110,0.0092,0.0097,0.0088,0.0122,0.0110,0.0094,0.0078,0.0088,0.0126,
torchaudio,22100,i16,1.0,1,22100,44200,1.7495,1.6842,0.1861,1.5543,1.9555,0.0670,0.0539,0.0371,0.0511,0.0866,
audio_samples,22100,i16,1.0,2,22100,88400,0.0074,0.0067,0.0053,0.0065,0.0070,0.0098,0.0093,0.0037,0.0076,0.0098,
librosa,22100,i16,1.0,2,22100,88400,0.0237,0.0216,0.0146,0.0206,0.0241,0.0232,0.0200,0.0132,0.0191,0.0284,
wave,22100,i16,1.0,2,22100,88400,0.0098,0.0086,0.0063,0.0081,0.0110,0.0099,0.0091,0.0054,0.0089,0.0095,
scipy,22100,i16,1.0,2,22100,88400,0.0119,0.0108,0.0081,0.0103,0.0112,0.0121,0.0108,0.0081,0.0103,0.0130,
torchaudio,22100,i16,1.0,2,22100,88400,3.0099,3.0085,0.0660,2.8787,3.0886,0.0830,0.0792,0.0351,0.0769,0.0802,
audio_samples,22100,i16,5.0,1,110500,221000,0.0100,0.0093,0.0057,0.0090,0.0095,0.0117,0.0106,0.0059,0.0105,0.0131,
librosa,22100,i16,5.0,1,110500,221000,0.0267,0.0243,0.0171,0.0231,0.0268,0.0268,0.0246,0.0142,0.0238,0.0272,
wave,22100,i16,5.0,1,110500,221000,0.0137,0.0127,0.0066,0.0123,0.0132,0.0150,0.0138,0.0084,0.0134,0.0143,
scipy,22100,i16,5.0,1,110500,221000,0.0167,0.0154,0.0093,0.0149,0.0161,0.0170,0.0156,0.0105,0.0151,0.0162,
torchaudio,22100,i16,5.0,1,110500,221000,3.8902,3.8744,0.1510,3.6342,4.0154,0.3269,0.2349,0.3419,0.2294,0.3261,
audio_samples,22100,i16,5.0,2,110500,442000,0.0166,0.0126,0.0356,0.0122,0.0132,0.0189,0.0179,0.0068,0.0176,0.0195,
librosa,22100,i16,5.0,2,110500,442000,0.0361,0.0298,0.0208,0.0271,0.0450,0.0343,0.0319,0.0166,0.0309,0.0346,
wave,22100,i16,5.0,2,110500,442000,0.0212,0.0199,0.0093,0.0194,0.0205,0.0225,0.0210,0.0092,0.0205,0.0231,
scipy,22100,i16,5.0,2,110500,442000,0.0359,0.0328,0.0146,0.0275,0.0403,0.0253,0.0229,0.0120,0.0223,0.0269,
torchaudio,22100,i16,5.0,2,110500,442000,7.1481,7.1398,0.1604,6.7811,7.2865,0.3285,0.3065,0.0506,0.2572,0.3753,
audio_samples,22100,i16,10.0,1,221000,442000,0.0141,0.0131,0.0080,0.0126,0.0137,0.0193,0.0180,0.0073,0.0177,0.0196,
librosa,22100,i16,10.0,1,221000,442000,0.0307,0.0281,0.0177,0.0270,0.0306,0.0341,0.0319,0.0147,0.0311,0.0340,
wave,22100,i16,10.0,1,221000,442000,0.0217,0.0203,0.0098,0.0197,0.0212,0.0228,0.0211,0.0099,0.0207,0.0233,
scipy,22100,i16,10.0,1,221000,442000,0.0251,0.0234,0.0116,0.0229,0.0253,0.0245,0.0229,0.0108,0.0224,0.0242,
torchaudio,22100,i16,10.0,1,221000,442000,4.1001,4.0304,0.2379,3.7223,4.3876,0.5227,0.4493,0.2877,0.4424,0.5894,
audio_samples,22100,i16,10.0,2,221000,884000,0.0257,0.0236,0.0109,0.0226,0.0278,0.0341,0.0324,0.0098,0.0318,0.0341,
librosa,22100,i16,10.0,2,221000,884000,0.0474,0.0436,0.0185,0.0412,0.0481,0.0549,0.0515,0.0195,0.0499,0.0561,
wave,22100,i16,10.0,2,221000,884000,0.0507,0.0468,0.0147,0.0458,0.0543,0.0439,0.0397,0.0152,0.0382,0.0510,
scipy,22100,i16,10.0,2,221000,884000,0.0567,0.0524,0.0173,0.0510,0.0589,0.0442,0.0404,0.0177,0.0384,0.0468,
torchaudio,22100,i16,10.0,2,221000,884000,7.3607,7.3143,0.3360,7.0214,7.4840,1.0839,0.5940,1.1569,0.5888,3.9658,
audio_samples,22100,i16,30.0,1,663000,1326000,0.0462,0.0419,0.0176,0.0412,0.0514,0.0719,0.0682,0.0177,0.0601,0.0796,
librosa,22100,i16,30.0,1,663000,1326000,0.0669,0.0615,0.0232,0.0597,0.0710,0.0772,0.0729,0.0231,0.0714,0.0794,
wave,22100,i16,30.0,1,663000,1326000,0.0905,0.0800,0.0232,0.0786,0.1030,0.0611,0.0582,0.0148,0.0576,0.0631,
scipy,22100,i16,30.0,1,663000,1326000,0.0939,0.0865,0.0278,0.0850,0.1009,0.0663,0.0641,0.0228,0.0596,0.0673,
torchaudio,22100,i16,30.0,1,663000,1326000,4.6102,4.5329,0.2249,4.3887,4.8851,1.3606,1.2922,0.1550,1.2820,1.5757,
audio_samples,22100,i16,30.0,2,663000,2652000,0.1021,0.0996,0.0332,0.0876,0.1017,0.1182,0.1128,0.0230,0.1105,0.1235,
librosa,22100,i16,30.0,2,663000,2652000,0.1191,0.1176,0.0336,0.1037,0.1234,0.1360,0.1296,0.0327,0.1242,0.1437,
wave,22100,i16,30.0,2,663000,2652000,0.1725,0.1586,0.0499,0.1553,0.1918,0.1193,0.1141,0.0275,0.1115,0.1225,
scipy,22100,i16,30.0,2,663000,2652000,0.1804,0.1759,0.0404,0.1502,0.2048,0.1294,0.1200,0.0432,0.1161,0.1337,
torchaudio,22100,i16,30.0,2,663000,2652000,8.2404,8.1574,0.3958,7.6028,8.4650,1.8133,1.6894,0.1850,1.6737,2.0906,
audio_samples,22100,i16,60.0,1,1326000,2652000,0.1029,0.0958,0.0333,0.0849,0.1191,0.1129,0.1057,0.0327,0.1047,0.1099,
librosa,22100,i16,60.0,1,1326000,2652000,0.1085,0.1020,0.0355,0.1006,0.1087,0.1330,0.1262,0.0325,0.1242,0.1365,
wave,22100,i16,60.0,1,1326000,2652000,0.1628,0.1568,0.0342,0.1537,0.1653,0.1273,0.1211,0.0360,0.1119,0.1496,
scipy,22100,i16,60.0,1,1326000,2652000,0.1791,0.1683,0.0467,0.1533,0.2029,0.1316,0.1235,0.0395,0.1162,0.1374,
torchaudio,22100,i16,60.0,1,1326000,2652000,5.4955,5.3820,0.5375,5.0788,5.6447,2.7763,2.5672,0.4079,2.5329,3.4221,
audio_samples,22100,i16,60.0,2,1326000,5304000,0.1900,0.1748,0.0569,0.1696,0.2025,0.2563,0.2428,0.0534,0.2331,0.2773,
librosa,22100,i16,60.0,2,1326000,5304000,0.2156,0.1996,0.0570,0.1913,0.2307,0.2861,0.2676,0.0685,0.2587,0.2940,
wave,22100,i16,60.0,2,1326000,5304000,0.2765,0.2612,0.0714,0.2586,0.3007,0.2670,0.2517,0.0537,0.2456,0.2905,
scipy,22100,i16,60.0,2,1326000,5304000,0.2844,0.2798,0.0626,0.2428,0.3003,0.2605,0.2467,0.0489,0.2441,0.2790,
torchaudio,22100,i16,60.0,2,1326000,5304000,10.1096,10.1017,0.4097,9.3549,10.4683,3.4032,3.4104,0.1229,2.8755,3.4846,
audio_samples,22100,f32,1.0,1,22100,88400,0.0078,0.0069,0.0057,0.0067,0.0084,0.0068,0.0061,0.0031,0.0059,0.0075,
librosa,22100,f32,1.0,1,22100,88400,0.0240,0.0218,0.0147,0.0205,0.0247,0.0849,0.0805,0.0153,0.0790,0.0913,
wave,22100,f32,1.0,1,22100,88400,,,,,,,,,,,wave does not support f32
scipy,22100,f32,1.0,1,22100,88400,0.0117,0.0108,0.0076,0.0103,0.0111,0.0121,0.0106,0.0094,0.0102,0.0129,
torchaudio,22100,f32,1.0,1,22100,88400,0.1340,0.1265,0.0353,0.1215,0.1374,0.0516,0.0477,0.0188,0.0473,0.0515,
audio_samples,22100,f32,1.0,2,22100,176800,0.0091,0.0082,0.0063,0.0080,0.0088,0.0101,0.0089,0.0078,0.0087,0.0109,
librosa,22100,f32,1.0,2,22100,176800,0.0259,0.0237,0.0157,0.0223,0.0257,0.1539,0.1492,0.0270,0.1470,0.1529,
wave,22100,f32,1.0,2,22100,176800,,,,,,,,,,,wave does not support f32
scipy,22100,f32,1.0,2,22100,176800,0.0151,0.0138,0.0098,0.0135,0.0143,0.0170,0.0142,0.0146,0.0137,0.0201,
torchaudio,22100,f32,1.0,2,22100,176800,0.1730,0.1649,0.0387,0.1500,0.1981,0.0616,0.0574,0.0186,0.0566,0.0633,
audio_samples,22100,f32,5.0,1,110500,442000,0.0142,0.0130,0.0077,0.0127,0.0138,0.0193,0.0179,0.0077,0.0176,0.0192,
librosa,22100,f32,5.0,1,110500,442000,0.0325,0.0280,0.0187,0.0267,0.0371,0.3617,0.3499,0.0302,0.3455,0.4085,
wave,22100,f32,5.0,1,110500,442000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,5.0,1,110500,442000,0.0258,0.0233,0.0123,0.0227,0.0276,0.0250,0.0227,0.0149,0.0220,0.0247,
torchaudio,22100,f32,5.0,1,110500,442000,0.3054,0.2826,0.0723,0.2641,0.3507,0.1877,0.1843,0.0177,0.1822,0.1876,
audio_samples,22100,f32,5.0,2,110500,884000,0.0249,0.0229,0.0107,0.0222,0.0275,0.0351,0.0317,0.0133,0.0308,0.0436,
librosa,22100,f32,5.0,2,110500,884000,0.0482,0.0436,0.0272,0.0411,0.0482,0.7174,0.6889,0.0832,0.6773,0.7560,
wave,22100,f32,5.0,2,110500,884000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,5.0,2,110500,884000,0.0584,0.0540,0.0191,0.0532,0.0591,0.0429,0.0400,0.0146,0.0388,0.0440,
torchaudio,22100,f32,5.0,2,110500,884000,0.3980,0.3677,0.0962,0.3507,0.4358,0.2491,0.2307,0.0529,0.2219,0.2861,
audio_samples,22100,f32,10.0,1,221000,884000,0.0271,0.0238,0.0197,0.0226,0.0274,0.0345,0.0318,0.0104,0.0307,0.0363,
librosa,22100,f32,10.0,1,221000,884000,0.0472,0.0443,0.0183,0.0421,0.0487,0.7111,0.6861,0.0742,0.6012,0.7690,
wave,22100,f32,10.0,1,221000,884000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,10.0,1,221000,884000,0.0667,0.0611,0.0168,0.0571,0.0802,0.0428,0.0402,0.0150,0.0388,0.0443,
torchaudio,22100,f32,10.0,1,221000,884000,0.4869,0.4392,0.0991,0.4147,0.6616,0.3675,0.3571,0.0361,0.3465,0.3899,
audio_samples,22100,f32,10.0,2,221000,1768000,0.0700,0.0678,0.0248,0.0593,0.0731,0.0761,0.0718,0.0160,0.0710,0.0839,
librosa,22100,f32,10.0,2,221000,1768000,0.0818,0.0774,0.0226,0.0757,0.0872,1.4123,1.3647,0.1286,1.3287,1.5694,
wave,22100,f32,10.0,2,221000,1768000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,10.0,2,221000,1768000,0.1335,0.1203,0.0340,0.1156,0.1537,0.1097,0.1053,0.0267,0.0898,0.1165,
torchaudio,22100,f32,10.0,2,221000,1768000,0.6257,0.5934,0.1056,0.5760,0.6681,0.5021,0.4600,0.0899,0.4506,0.6551,
audio_samples,22100,f32,30.0,1,663000,2652000,0.0906,0.0851,0.0247,0.0844,0.0980,0.1198,0.1153,0.0251,0.1050,0.1304,
librosa,22100,f32,30.0,1,663000,2652000,0.1111,0.1014,0.0320,0.0997,0.1232,2.1080,2.0445,0.1738,2.0227,2.3065,
wave,22100,f32,30.0,1,663000,2652000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,30.0,1,663000,2652000,0.1718,0.1532,0.0620,0.1516,0.1895,0.1244,0.1162,0.0321,0.1137,0.1286,
torchaudio,22100,f32,30.0,1,663000,2652000,1.0704,1.0251,0.1475,0.9865,1.1371,1.0843,1.0447,0.1137,1.0107,1.1551,
audio_samples,22100,f32,30.0,2,663000,5304000,0.1845,0.1682,0.0489,0.1656,0.2031,0.2698,0.2525,0.0538,0.2387,0.3189,
librosa,22100,f32,30.0,2,663000,5304000,0.2042,0.1878,0.0624,0.1834,0.2204,4.1932,4.1348,0.1827,4.0352,4.3822,
wave,22100,f32,30.0,2,663000,5304000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,30.0,2,663000,5304000,0.2469,0.2289,0.0774,0.2273,0.2582,0.2653,0.2543,0.0527,0.2440,0.2819,
torchaudio,22100,f32,30.0,2,663000,5304000,1.5983,1.5040,0.2636,1.4116,1.8376,1.3962,1.3424,0.1240,1.3018,1.5186,
audio_samples,22100,f32,60.0,1,1326000,5304000,0.1808,0.1679,0.0490,0.1636,0.1937,0.2536,0.2416,0.0461,0.2373,0.2630,
librosa,22100,f32,60.0,1,1326000,5304000,0.2033,0.1878,0.0591,0.1839,0.2201,4.1997,4.1396,0.2089,4.0380,4.3944,
wave,22100,f32,60.0,1,1326000,5304000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,60.0,1,1326000,5304000,0.2783,0.2703,0.0724,0.2337,0.2917,0.2648,0.2550,0.0511,0.2444,0.2740,
torchaudio,22100,f32,60.0,1,1326000,5304000,1.9324,1.9010,0.1422,1.8126,2.0496,2.1037,2.0853,0.0918,1.9877,2.2112,
audio_samples,22100,f32,60.0,2,1326000,10608000,0.4029,0.3786,0.1376,0.3380,0.4572,0.6317,0.6060,0.0945,0.5493,0.7102,
librosa,22100,f32,60.0,2,1326000,10608000,0.3935,0.3688,0.1025,0.3605,0.4168,8.5354,8.3720,0.5439,8.1394,8.8688,
wave,22100,f32,60.0,2,1326000,10608000,,,,,,,,,,,wave does not support f32
scipy,22100,f32,60.0,2,1326000,10608000,0.5253,0.4812,0.1353,0.4385,0.6719,0.7473,0.6825,0.1359,0.6379,0.9725,
torchaudio,22100,f32,60.0,2,1326000,10608000,3.8874,3.8375,0.3045,3.4440,4.2398,2.8156,2.7773,0.1606,2.6448,2.9769,
audio_samples,44100,i16,1.0,1,44100,88200,0.0077,0.0069,0.0054,0.0067,0.0072,0.0069,0.0060,0.0052,0.0058,0.0073,
librosa,44100,i16,1.0,1,44100,88200,0.0235,0.0214,0.0147,0.0206,0.0233,0.0218,0.0197,0.0141,0.0191,0.0217,
wave,44100,i16,1.0,1,44100,88200,0.0095,0.0085,0.0079,0.0081,0.0090,0.0099,0.0092,0.0060,0.0089,0.0094,
scipy,44100,i16,1.0,1,44100,88200,0.0117,0.0106,0.0080,0.0103,0.0111,0.0120,0.0108,0.0098,0.0104,0.0116,
torchaudio,44100,i16,1.0,1,44100,88200,3.0353,3.0278,0.0946,2.8686,3.1556,0.1122,0.1075,0.0340,0.1048,0.1124,
audio_samples,44100,i16,1.0,2,44100,176400,0.0094,0.0084,0.0059,0.0082,0.0091,0.0098,0.0091,0.0043,0.0089,0.0109,
librosa,44100,i16,1.0,2,44100,176400,0.0267,0.0240,0.0164,0.0224,0.0281,0.0253,0.0230,0.0147,0.0225,0.0247,
wave,44100,i16,1.0,2,44100,176400,0.0126,0.0113,0.0079,0.0108,0.0140,0.0132,0.0122,0.0074,0.0118,0.0138,
scipy,44100,i16,1.0,2,44100,176400,0.0153,0.0139,0.0105,0.0136,0.0147,0.0153,0.0139,0.0101,0.0135,0.0146,
torchaudio,44100,i16,1.0,2,44100,176400,5.8033,5.7415,0.2728,5.5395,5.9696,0.1364,0.1330,0.0300,0.1299,0.1350,
audio_samples,44100,i16,5.0,1,220500,441000,0.0159,0.0128,0.0101,0.0123,0.0176,0.0192,0.0180,0.0070,0.0176,0.0194,
librosa,44100,i16,5.0,1,220500,441000,0.0328,0.0287,0.0194,0.0270,0.0346,0.0339,0.0318,0.0149,0.0309,0.0341,
wave,44100,i16,5.0,1,220500,441000,0.0212,0.0198,0.0100,0.0192,0.0209,0.0223,0.0209,0.0098,0.0205,0.0218,
scipy,44100,i16,5.0,1,220500,441000,0.0243,0.0228,0.0114,0.0223,0.0240,0.0247,0.0229,0.0124,0.0225,0.0240,
torchaudio,44100,i16,5.0,1,220500,441000,7.2344,7.1309,0.4152,6.8370,7.5648,0.5077,0.4496,0.2881,0.4427,0.5437,
audio_samples,44100,i16,5.0,2,220500,882000,0.0247,0.0228,0.0111,0.0219,0.0259,0.0343,0.0324,0.0092,0.0316,0.0373,
librosa,44100,i16,5.0,2,220500,882000,0.0461,0.0429,0.0175,0.0407,0.0491,0.0584,0.0530,0.0221,0.0498,0.0674,
wave,44100,i16,5.0,2,220500,882000,0.0520,0.0478,0.0147,0.0463,0.0625,0.0422,0.0393,0.0132,0.0381,0.0450,
scipy,44100,i16,5.0,2,220500,882000,0.0610,0.0554,0.0200,0.0540,0.0674,0.0513,0.0439,0.0333,0.0424,0.0523,
torchaudio,44100,i16,5.0,2,220500,882000,13.3350,13.2787,0.2887,12.7760,13.5933,0.6212,0.5898,0.1763,0.5833,0.6259,
audio_samples,44100,i16,10.0,1,441000,882000,0.0249,0.0221,0.0123,0.0215,0.0265,0.0339,0.0316,0.0116,0.0309,0.0350,
librosa,44100,i16,10.0,1,441000,882000,0.0462,0.0425,0.0191,0.0398,0.0499,0.0561,0.0520,0.0212,0.0489,0.0600,
wave,44100,i16,10.0,1,441000,882000,0.0516,0.0488,0.0139,0.0457,0.0577,0.0429,0.0397,0.0138,0.0383,0.0456,
scipy,44100,i16,10.0,1,441000,882000,0.0564,0.0532,0.0200,0.0515,0.0575,0.0499,0.0449,0.0215,0.0423,0.0534,
torchaudio,44100,i16,10.0,1,441000,882000,7.2440,7.2496,0.1632,6.9120,7.3800,0.9612,0.8781,0.2029,0.8695,1.1466,
audio_samples,44100,i16,10.0,2,441000,1764000,0.0653,0.0600,0.0283,0.0591,0.0691,0.0758,0.0716,0.0172,0.0709,0.0783,
librosa,44100,i16,10.0,2,441000,1764000,0.0825,0.0772,0.0245,0.0748,0.0894,0.1109,0.1024,0.0317,0.0885,0.1316,
wave,44100,i16,10.0,2,441000,1764000,0.1228,0.1126,0.0286,0.1115,0.1416,0.0808,0.0766,0.0190,0.0756,0.0847,
scipy,44100,i16,10.0,2,441000,1764000,0.1305,0.1181,0.0312,0.1168,0.1506,0.0886,0.0847,0.0237,0.0768,0.1000,
torchaudio,44100,i16,10.0,2,441000,1764000,13.6702,13.6132,0.3198,13.2041,14.0512,1.1583,1.1381,0.3174,0.9317,1.1713,
audio_samples,44100,i16,30.0,1,1323000,2646000,0.1010,0.0977,0.0355,0.0855,0.1081,0.1139,0.1087,0.0244,0.1081,0.1184,
librosa,44100,i16,30.0,1,1323000,2646000,0.1222,0.1162,0.0388,0.1018,0.1317,0.1333,0.1257,0.0375,0.1246,0.1378,
wave,44100,i16,30.0,1,1323000,2646000,0.1779,0.1677,0.0355,0.1566,0.1985,0.1276,0.1150,0.0360,0.1118,0.1449,
scipy,44100,i16,30.0,1,1323000,2646000,0.1705,0.1560,0.0408,0.1532,0.1938,0.1278,0.1147,0.0333,0.1134,0.1500,
torchaudio,44100,i16,30.0,1,1323000,2646000,8.4443,8.2740,0.5837,7.8226,9.1707,2.6109,2.5553,0.1710,2.5314,2.7532,
audio_samples,44100,i16,30.0,2,1323000,5292000,0.1781,0.1700,0.0528,0.1684,0.1745,0.2674,0.2528,0.0635,0.2316,0.3067,
librosa,44100,i16,30.0,2,1323000,5292000,0.2182,0.2097,0.0608,0.1866,0.2303,0.2948,0.2651,0.0717,0.2541,0.3648,
wave,44100,i16,30.0,2,1323000,5292000,0.2853,0.2605,0.0701,0.2565,0.3168,0.2668,0.2474,0.0625,0.2404,0.2861,
scipy,44100,i16,30.0,2,1323000,5292000,0.2653,0.2428,0.0671,0.2378,0.2869,0.2966,0.2501,0.0841,0.2430,0.4193,
torchaudio,44100,i16,30.0,2,1323000,5292000,16.5030,15.8810,1.5673,15.1234,19.0660,3.6921,3.4628,0.3925,3.3431,4.2539,
audio_samples,44100,i16,60.0,1,2646000,5292000,0.1874,0.1836,0.0626,0.1624,0.1941,0.2638,0.2545,0.0508,0.2417,0.2691,
librosa,44100,i16,60.0,1,2646000,5292000,0.2020,0.1847,0.0799,0.1800,0.2088,0.2761,0.2604,0.0556,0.2539,0.2925,
wave,44100,i16,60.0,1,2646000,5292000,0.2820,0.2551,0.0705,0.2506,0.3126,0.2633,0.2563,0.0659,0.2363,0.2703,
scipy,44100,i16,60.0,1,2646000,5292000,0.2773,0.2682,0.0835,0.2357,0.3049,0.2554,0.2437,0.0497,0.2374,0.2680,
torchaudio,44100,i16,60.0,1,2646000,5292000,9.8756,9.7222,0.5777,8.8646,10.7381,5.1778,5.0226,0.4730,4.1994,6.0859,
audio_samples,44100,i16,60.0,2,2646000,10584000,0.4504,0.4289,0.1182,0.4148,0.4579,0.5971,0.5678,0.1048,0.5302,0.6955,
librosa,44100,i16,60.0,2,2646000,10584000,0.5179,0.4737,0.1097,0.4363,0.6431,0.6061,0.5791,0.0977,0.5490,0.6727,
wave,44100,i16,60.0,2,2646000,10584000,0.5772,0.5409,0.1050,0.5042,0.6567,0.5958,0.5553,0.1026,0.5368,0.6819,
scipy,44100,i16,60.0,2,2646000,10584000,0.6116,0.5687,0.1405,0.5127,0.7132,0.5932,0.5621,0.0882,0.5433,0.6525,
torchaudio,44100,i16,60.0,2,2646000,10584000,19.3980,19.1245,0.9726,18.1889,20.6306,8.3772,7.9044,0.7911,7.5520,9.5355,
audio_samples,44100,f32,1.0,1,44100,176400,0.0096,0.0086,0.0065,0.0083,0.0104,0.0098,0.0089,0.0056,0.0088,0.0102,
librosa,44100,f32,1.0,1,44100,176400,0.0253,0.0233,0.0143,0.0221,0.0256,0.1490,0.1469,0.0147,0.1454,0.1501,
wave,44100,f32,1.0,1,44100,176400,,,,,,,,,,,wave does not support f32
scipy,44100,f32,1.0,1,44100,176400,0.0156,0.0139,0.0140,0.0134,0.0147,0.0151,0.0140,0.0080,0.0135,0.0148,
torchaudio,44100,f32,1.0,1,44100,176400,0.1877,0.1508,0.0977,0.1443,0.2608,0.0904,0.0818,0.0279,0.0809,0.1090,
audio_samples,44100,f32,1.0,2,44100,352800,0.0125,0.0115,0.0082,0.0112,0.0120,0.0166,0.0156,0.0067,0.0154,0.0169,
librosa,44100,f32,1.0,2,44100,352800,0.0291,0.0270,0.0143,0.0256,0.0287,0.3061,0.2825,0.0581,0.2782,0.3944,
wave,44100,f32,1.0,2,44100,352800,,,,,,,,,,,wave does not support f32
scipy,44100,f32,1.0,2,44100,352800,0.0211,0.0197,0.0112,0.0192,0.0204,0.0222,0.0207,0.0103,0.0203,0.0221,
torchaudio,44100,f32,1.0,2,44100,352800,0.2153,0.1985,0.0517,0.1849,0.2720,0.1089,0.0993,0.0276,0.0976,0.1189,
audio_samples,44100,f32,5.0,1,220500,882000,0.0328,0.0304,0.0208,0.0220,0.0364,0.0339,0.0324,0.0098,0.0318,0.0345,
librosa,44100,f32,5.0,1,220500,882000,0.0606,0.0595,0.0272,0.0425,0.0766,0.7165,0.6872,0.0917,0.6779,0.7479,
wave,44100,f32,5.0,1,220500,882000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,5.0,1,220500,882000,0.0568,0.0525,0.0179,0.0510,0.0596,0.0424,0.0399,0.0155,0.0387,0.0436,
torchaudio,44100,f32,5.0,1,220500,882000,0.3739,0.3523,0.0673,0.3379,0.4088,0.3934,0.3607,0.0658,0.3527,0.4711,
audio_samples,44100,f32,5.0,2,220500,1764000,0.0760,0.0711,0.0252,0.0588,0.0838,0.0746,0.0714,0.0165,0.0709,0.0763,
librosa,44100,f32,5.0,2,220500,1764000,0.0855,0.0796,0.0272,0.0761,0.0903,1.4625,1.3629,0.2273,1.3501,1.8878,
wave,44100,f32,5.0,2,220500,1764000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,5.0,2,220500,1764000,0.1269,0.1180,0.0293,0.1166,0.1372,0.0853,0.0795,0.0228,0.0779,0.0899,
torchaudio,44100,f32,5.0,2,220500,1764000,0.5329,0.5007,0.0792,0.4814,0.6089,0.4840,0.4482,0.0877,0.4411,0.6045,
audio_samples,44100,f32,10.0,1,441000,1764000,0.0656,0.0614,0.0161,0.0602,0.0720,0.0858,0.0767,0.0319,0.0697,0.1016,
librosa,44100,f32,10.0,1,441000,1764000,0.0929,0.0792,0.0353,0.0755,0.1165,1.4054,1.3757,0.1092,1.2852,1.4505,
wave,44100,f32,10.0,1,441000,1764000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,10.0,1,441000,1764000,0.1267,0.1178,0.0291,0.1160,0.1494,0.0855,0.0801,0.0283,0.0782,0.0874,
torchaudio,44100,f32,10.0,1,441000,1764000,0.5820,0.5642,0.0696,0.5415,0.6123,0.7401,0.7000,0.1018,0.6854,0.8130,
audio_samples,44100,f32,10.0,2,441000,3528000,0.1249,0.1225,0.0289,0.1122,0.1309,0.1618,0.1463,0.0359,0.1441,0.1860,
librosa,44100,f32,10.0,2,441000,3528000,0.1490,0.1439,0.0409,0.1303,0.1624,2.8027,2.7219,0.3170,2.6475,2.8327,
wave,44100,f32,10.0,2,441000,3528000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,10.0,2,441000,3528000,0.1951,0.1812,0.0488,0.1773,0.2097,0.1668,0.1557,0.0440,0.1474,0.1809,
torchaudio,44100,f32,10.0,2,441000,3528000,0.8898,0.8712,0.0866,0.8257,0.9479,1.0003,0.9344,0.1429,0.8871,1.1366,
audio_samples,44100,f32,30.0,1,1323000,5292000,0.1916,0.1898,0.0644,0.1668,0.1984,0.2649,0.2546,0.0639,0.2361,0.2922,
librosa,44100,f32,30.0,1,1323000,5292000,0.2283,0.2117,0.0798,0.1850,0.2619,4.2043,4.1226,0.2692,4.0275,4.4116,
wave,44100,f32,30.0,1,1323000,5292000,,,,,,,,,,,wave does not support f32
scipy,44100,f32,30.0,1,1323000,5292000,0.2789,0.2673,0.0799,0.2370,0.3124,0.2675,0.2582,0.0488,0.2436,0.2760,
torchaudio,44100,f32,30.0,1,1323000,5292000,1.5768,1.4965,0.2321,1.3946,1.7650,2.1730,2.1089,0.1714,2.0370,2.4731,
